 % R  psy  abs(asymptotics)
   14.0000000000000       0.100000000000000       9.022507321667821E-004
   14.0000000000000       0.109838102520367       1.064849730080447E-003
   14.0000000000000       0.119676205040734       1.236473735656740E-003
   14.0000000000000       0.129514307561102       1.416205236640379E-003
   14.0000000000000       0.139352410081469       1.603162586882650E-003
   14.0000000000000       0.149190512601836       1.796499238205414E-003
   14.0000000000000       0.159028615122203       1.995402798008065E-003
   14.0000000000000       0.168866717642570       2.199093948197760E-003
   14.0000000000000       0.178704820162938       2.406825257158797E-003
   14.0000000000000       0.188542922683305       2.617879912827457E-003
   14.0000000000000       0.198381025203672       2.831570401524115E-003
   14.0000000000000       0.208219127724039       3.047237154025721E-003
   14.0000000000000       0.218057230244406       3.264247177442825E-003
   14.0000000000000       0.227895332764774       3.481992688793186E-003
   14.0000000000000       0.237733435285141       3.699889763732379E-003
   14.0000000000000       0.247571537805508       3.917377011699956E-003
   14.0000000000000       0.257409640325875       4.133914286755206E-003
   14.0000000000000       0.267247742846242       4.348981441595005E-003
   14.0000000000000       0.277085845366610       4.562077130653102E-003
   14.0000000000000       0.286923947886977       4.772717666758558E-003
   14.0000000000000       0.296762050407344       4.980435934567282E-003
   14.0000000000000       0.306600152927711       5.184780362856804E-003
   14.0000000000000       0.316438255448078       5.385313956778329E-003
   14.0000000000000       0.326276357968446       5.581613390274689E-003
   14.0000000000000       0.336114460488813       5.773268158086507E-003
   14.0000000000000       0.345952563009180       5.959879786066953E-003
   14.0000000000000       0.355790665529547       6.141061097896681E-003
   14.0000000000000       0.365628768049914       6.316435535722246E-003
   14.0000000000000       0.375466870570282       6.485636531722895E-003
   14.0000000000000       0.385304973090649       6.648306927130659E-003
   14.0000000000000       0.395143075611016       6.804098434777656E-003
   14.0000000000000       0.404981178131383       6.952671140811393E-003
   14.0000000000000       0.414819280651750       7.093693040793828E-003
   14.0000000000000       0.424657383172118       7.226839604973372E-003
   14.0000000000000       0.434495485692485       7.351793367079753E-003
   14.0000000000000       0.444333588212852       7.468243530529762E-003
   14.0000000000000       0.454171690733219       7.575885585435324E-003
   14.0000000000000       0.464009793253586       7.674420929263018E-003
   14.0000000000000       0.473847895773954       7.763556483392551E-003
   14.0000000000000       0.483685998294321       7.843004297147712E-003
   14.0000000000000       0.493524100814688       7.912481130111480E-003
   14.0000000000000       0.503362203335055       7.971708002673635E-003
   14.0000000000000       0.513200305855422       8.020409703777103E-003
   14.0000000000000       0.523038408375790       8.058314243714906E-003
   14.0000000000000       0.532876510896157       8.085152238571484E-003
   14.0000000000000       0.542714613416524       8.100656211492903E-003
   14.0000000000000       0.552552715936891       8.104559794416608E-003
   14.0000000000000       0.562390818457258       8.096596812218398E-003
   14.0000000000000       0.572228920977626       8.076500229502447E-003
   14.0000000000000       0.582067023497993       8.044000938591605E-003
   14.0000000000000       0.591905126018360       7.998826365891014E-003
   14.0000000000000       0.601743228538727       7.940698873090431E-003
   14.0000000000000       0.611581331059094       7.869333930313093E-003
   14.0000000000000       0.621419433579462       7.784438041460664E-003
   14.0000000000000       0.631257536099829       7.685706409598599E-003
   14.0000000000000       0.641095638620196       7.572820345592654E-003
   14.0000000000000       0.650933741140563       7.445444452030287E-003
   14.0000000000000       0.660771843660930       7.303223666550182E-003
   14.0000000000000       0.670609946181298       7.145780341207736E-003
   14.0000000000000       0.680448048701665       6.972711697854403E-003
   14.0000000000000       0.690286151222032       6.783588288674116E-003
   14.0000000000000       0.700124253742399       6.577954607408796E-003
   14.0000000000000       0.709962356262766       6.355333931989108E-003
   14.0000000000000       0.719800458783134       6.115241205116730E-003
   14.0000000000000       0.729638561303501       5.857211019864819E-003
   14.0000000000000       0.739476663823868       5.580854112793701E-003
   14.0000000000000       0.749314766344235       5.285968487777009E-003
   14.0000000000000       0.759152868864602       4.972757811870267E-003
   14.0000000000000       0.768990971384970       4.642267372947776E-003
   14.0000000000000       0.778829073905337       4.297279001138511E-003
   14.0000000000000       0.788667176425704       3.944218330242763E-003
   14.0000000000000       0.798505278946071       3.597398704191109E-003
   14.0000000000000       0.808343381466438       3.288865789309557E-003
   14.0000000000000       0.818181483986806       3.092082982857198E-003
   14.0000000000000       0.828019586507173       3.187800275185692E-003
   14.0000000000000       0.837857689027540       3.514002724231247E-003
   14.0000000000000       0.847695791547907       2.402752402520303E-003
   14.0000000000000       0.857533894068274       2.196573480549014E-003
   14.0000000000000       0.867371996588642       2.170957456169933E-003
   14.0000000000000       0.877210099109009       2.199382186636864E-003
   14.0000000000000       0.887048201629376       2.240329671642517E-003
   14.0000000000000       0.896886304149743       2.278556974696237E-003
   14.0000000000000       0.906724406670110       2.308471270923740E-003
   14.0000000000000       0.916562509190478       2.328326431436020E-003
   14.0000000000000       0.926400611710845       2.337975046431890E-003
   14.0000000000000       0.936238714231212       2.337935162328608E-003
   14.0000000000000       0.946076816751579       2.328984400126975E-003
   14.0000000000000       0.955914919271946       2.311979169950233E-003
   14.0000000000000       0.965753021792314       2.287774563353469E-003
   14.0000000000000       0.975591124312681       2.257190756968419E-003
   14.0000000000000       0.985429226833048       2.221001268658469E-003
   14.0000000000000       0.995267329353415       2.179931452723671E-003
   14.0000000000000        1.00510543187378       2.134661636331734E-003
   14.0000000000000        1.01494353439415       2.085832168012911E-003
   14.0000000000000        1.02478163691452       2.034049051009252E-003
   14.0000000000000        1.03461973943488       1.979889528571143E-003
   14.0000000000000        1.04445784195525       1.923907330524628E-003
   14.0000000000000        1.05429594447562       1.866637452134597E-003
   14.0000000000000        1.06413404699599       1.808600402030631E-003
